created_in_catalog,id,rating,company_id,company_name,company_code,region,city,street,housenumber,answer_response_time
2024-09-26,354642065,5.0,1293871,ЭТМ,49,Республика Башкортостан,Уфа,улица Минигали Губайдуллина,14/1 (или 2/1),
2024-09-26,354986123,3.0,1235456,ЭТМ,22,Московская область,Подольск,проспект Юных Ленинцев,70 ст3,353032.958521
2024-09-26,355370792,5.0,1235445,ЭТМ,11,Краснодарский край,Краснодар,Московская,69/9,47867.759597
2024-09-26,354611526,3.0,1099151,ЭТМ,ETM33100,Тюменская область,Тюмень,Ветеранов Труда,40 ст1,
2024-09-26,355370794,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,51033.19926
2024-09-26,355370804,5.0,1099022,ЭТМ,ETM4310,Санкт-Петербург,Санкт-Петербург,проспект Просвещения,76 к1,51099.690245
2024-09-26,354548802,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,457.481179
2024-09-26,354548399,5.0,1099062,ЭТМ,ETM71110,Омская область,Омск,улица 10 лет Октября,50,677.648429
2024-09-26,355361497,1.0,1099118,ЭТМ,ETM4230,Санкт-Петербург,Санкт-Петербург,Софийская,8 к1,162428.114343
2024-09-26,354509053,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,328.064181
2024-09-26,354487068,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,2356.764649
2024-09-26,355361494,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,58578.51309
2024-09-26,355621413,5.0,,,,,,,,1491315.681185
2024-09-26,354443955,5.0,2160636,ЭТМ,,Хабаровский край,Хабаровск,Краснодарская улица,102Б,2910.87707
2024-09-26,354443070,5.0,1099100,ЭТМ,ETM75100,Кемеровская область,Новокузнецк,ДОЗ,19 к2а,9598.048852
2024-09-26,354438314,5.0,2160636,ЭТМ,,Хабаровский край,Хабаровск,Краснодарская улица,102Б,
2024-09-26,355370797,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,43902.54804
2024-09-26,354427133,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,13273.38059
2024-09-26,355361495,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,58625.522226
2024-09-26,354426936,2.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,10018.433211
2024-09-26,354425472,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,15396.261851
2024-09-26,354425473,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,15513.441226
2024-09-26,354425474,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,15775.731523
2024-09-26,355621412,5.0,,,,,,,,1491315.914711
2024-09-25,355284586,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,134085.330084
2024-09-25,355298599,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,119408.662997
2024-09-25,355284585,5.0,1235449,ЭТМ,15,Курская область,Курск,улица Энгельса,169литВ1,128961.12624
2024-09-25,355621416,4.0,,,,,,,,1491315.901586
2024-09-25,355291467,5.0,1099096,ЭТМ,ETM91100,Татарстан,Набережные Челны,Низаметдинова,2,126890.283031
2024-09-25,354681178,5.0,1099013,ЭТМ,ETM84100,Астраханская область,Астрахань,Зеленгинская 3-я,56а/2,53110.143201
2024-09-25,355284589,5.0,1235450,ЭТМ,16,Липецкая область,Липецк,улица Балмочных,17,134218.108488
2024-09-25,355284584,5.0,1235457,ЭТМ,23,Московская область,Химки,проспект Мельникова,32А,134142.71473
2024-09-25,355291464,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,518415.601762
2024-09-25,355291468,5.0,1099072,ЭТМ,ETM15120,Нижегородская область,Нижний Новгород,проспект Ленина,78,126937.942566
2024-09-25,354681173,5.0,1099066,ЭТМ,ETM12280,Москва,Москва,улица Щербаковская,20,53223.930443
2024-09-25,354276074,5.0,1099109,ЭТМ,ETM146100,Иркутская область,Иркутск,Старо-Кузьмихинская,71,61798.0645
2024-09-25,354295828,1.0,1099060,ЭТМ,ETM77130,Красноярский край,Красноярск,Алексеева,39,
2024-09-25,355291456,5.0,1235463,ЭТМ,29,Оренбургская область,Оренбург,улица Монтажников,13,127025.664996
2024-09-25,354261395,5.0,1099124,ЭТМ,ETM70120,Новосибирская область,Новосибирск,Оловозаводская,20 к1,65486.24173
2024-09-25,355291457,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,127053.101576
