CampaignID|Campaign_name
09049691|
01518527|
39205258|
78482588|
78833657|
29221284|
60525629|
71344696|
98359282|
00109354|
72425806|
114189469|
19791562|
201329979|
103788920|
174478329|
53512759|
79304951|
59829459|
12554671|
112714168|
01565239|
88405441|
84234545|
95969200|
106588590|
104738902|
55378429|
79653230|
57513694|
93798004|
34905464|
47972027|
82461649|
91560060|
49594969|
27357202|
71101843|
16742321|
79839401|
209531863|
32022299|
104738900|
86145859|
40243213|
28195575|
75090744|
108743885|
14349268|
42471959|
13314624|
62128952|
17978989|
38299639|
114182899|
59293146|
90997599|
01566275|
26115898|
42232263|
11266934|
32130673|
28144106|
33585696|
54251357|
35255289|
01217650|
53735384|
61390589|
00575448|
40737778|
02065905|
26966982|
25096638|
03531227|
13245530|
56942715|
86689579|
18520027|
37386049|
12952872|
59340520|
35252272|
61173899|
43582741|
99237787|
70627037|
88167925|
29556475|
114103223|
47101564|
114029636|
69888369|
49177935|
22806092|
88953115|
77109888|
15557030|
33582870|
99446650|
38453543|
06901444|
76758642|
52743021|
42886942|
17117501|
94687101|
31235868|
104046907|
76761085|
98428538|
82498834|
73634071|
39078056|
103790222|
10839163|
44194637|
10485870|
30999568|
58986142|
60719614|
89568995|
97396514|
174478311|
08438206|
58514452|
88789742|
10715418|
08460401|
24771710|
16905325|
11608369|
55126104|
46398696|
67852658|
87617526|
12011951|
13349701|
93564968|
20227129|
06180566|
23531078|
52288657|
26429424|
21159842|
06667370|
95712416|
21872584|
63988180|
09285772|
27130161|
97647645|
99506036|
61017317|
03504580|
07716671|
85712375|
13928624|
00399403|
26393214|
15984664|
09188803|
20481957|
40980705|
12548342|
71681429|
48313094|
44572396|
14411310|
98173609|
97741836|
81540870|
108745123|
68450870|
53402308|
91065099|
114185585|
82770323|
32231325|
05273547|
87988301|
62622821|
65091319|
79777897|
58054216|
15748957|
22845502|
17587192|
26875040|
17299001|
27507468|
82896232|
204194107|
90896363|
65461804|
63843328|
22327912|
14899805|
56734082|
16668629|
77155393|
204197066|
13277934|
02676529|
59329099|
22716432|
18963541|
34822907|
50106546|
40208158|
53156538|
71997049|
112584680|
98541026|
54355073|
48382176|
49630587|
01297862|
46553725|
61248383|
52907262|
02420944|
42767713|
25485918|
34359318|
27042481|
05575837|
99665600|
66415818|
34878160|
56370605|
99359590|
54218653|
52307071|
88913013|
27227907|
172420412|
56731522|
78220306|
39941671|
103788593|
79092769|
36704468|
71442801|
04143612|
14292239|
76576118|
01546999|
86205326|
16018141|
36170460|
93266700|
23082731|
47807181|
04770527|
84756654|
14331282|
49020616|
07719874|
16517374|
53346153|
04961416|
93162640|
63561381|
17313132|
82061321|
71293997|
14074125|
15347650|
58492126|
65001807|
12376076|
93947908|
90656374|
32019333|
11174361|
50119061|
113196440|
96096367|
75746851|
93394331|
85629762|
79070822|
02069971|
19438435|
89666961|
24789917|
79717742|
44031720|
49801169|
97980758|
98946970|
82090603|
20028465|
78749534|
64119541|
114073846|
41954175|
53605905|
201451985|
22689891|
96741696|
27021354|
58042634|
70425925|
199251043|
59152571|
56307575|
97977769|
75118631|
84328785|
92116054|
00857614|
70060970|
20631988|
55898685|
72589136|
65498326|
93001039|
114243760|
57684846|
79614100|
44290117|
32557823|
82498744|
61084706|
23488796|
39344982|
23492818|
49774688|
99708474|
11451054|
51939210|
23934762|
32008591|
11434662|
19152072|
61712688|
77641837|
46826178|
86842805|
72794208|
85486839|
51902922|
66152096|
08086801|
07512548|
52537547|
62221242|
95961357|
63451525|
98969922|
77253366|
16598549|
29974519|
79710487|
75368289|
49614251|
75749534|
96930726|
82097458|
91955764|
18726168|
82679466|
36163155|
89475246|
47968582|
33073760|
101273518|
85022032|
13509406|
95818841|
95351704|
22670875|
98714120|
94795754|
32729320|
37038035|
62292401|
30890620|
64958799|
47968187|
99812909|
09009569|
22390592|
52728341|
51450576|
27377434|
88119078|
03719824|
64202676|
11648260|
54832943|
85791175|
13100519|
61945413|
88960159|
26948396|
29496790|
112645206|
87664755|
88095204|
09578322|
11880382|
59694731|
101275524|
21710181|
19607405|
04880614|
25407017|
61758266|
71243863|
43454798|
12792502|
33220750|
05084161|
08514777|
93869102|
88460645|
98704707|
63958077|
95691279|
66103602|
08358931|
07252173|
83098663|
32494799|
62522568|
78970391|
99276531|
66214347|
61400002|
80444758|
201445758|
14190169|
15768795|
73133471|
33906772|
47277025|
32292445|
66662049|
53945907|
89219093|
44091772|
97589705|
68152175|
81902734|
23926086|
73010649|
15709578|
37647800|
00157854|
49812287|
61115778|
00722329|
01924353|
114187501|
83591671|
26760635|
12235752|
22021042|
18330910|
58849280|
20711173|
22880311|
46378884|
64482798|
48215638|
94753773|
60129745|
08369875|
60333223|
23262405|
54471165|
69634038|
35574574|
97991220|
13998235|
03001885|
60771400|
60349216|
73389613|
17618769|
44256605|
41005901|
99741558|
29409628|
02940095|
71276134|
20867069|
92855792|
99390610|
42895584|
48187962|
204050748|
23516608|
19551071|
30692077|
98831096|
42374145|
73237350|
84866125|
97461994|
99164151|
87414105|
33629934|
27798625|
17144676|
60045782|
201435552|
07899520|
70351913|
42831816|
02303489|
81243283|
71010023|
